v1_token,v2_token,status,reason,removal_version
--blora-dur-slow,--blora-duration-slow,mapped,Renamed from dur to duration,2.0.0
--blora-dur-emphasis,--blora-duration-emphasis,mapped,Renamed from dur to duration,2.0.0
--blora-tabs-fade-duration,--blora-duration-tabs-fade,mapped,Moved to duration namespace,2.0.0
--blora-z-base,--blora-z-base,mapped,Same name,2.0.0
--blora-z-sticky,--blora-z-sticky,mapped,Same name,2.0.0
--blora-z-dropdown,--blora-z-dropdown,mapped,Same name,2.0.0
--blora-z-drawer,--blora-z-drawer,mapped,Same name,2.0.0
--blora-z-modal,--blora-z-modal,mapped,Same name,2.0.0
--blora-z-toast,--blora-z-toast,mapped,Same name,2.0.0
--blora-background-texture,--blora-texture-background,mapped,Moved to texture namespace,2.0.0
--blora-background-overlay,--blora-texture-overlay,mapped,Moved to texture namespace,2.0.0
